fld_num,fld_names,lift,precision,recall,tot_lift,tot_recall,tot_prec
28,q_rh_close_30M^prpsl_low_10M^q_rl_close_20M^q_rl_close_5M^prpsh_high_90M^q_rh_close_20M^q_rl_high_20M,0.82079,0.84848,0.02593,0.75562,0.00476,0.91919
43,q_rl_high_30M^prpsl_low_5M^q_sma_low_15M_pdif^q_rl_high_10M^q_rl_low_20M^q_rh_close_5M^q_rh_high_30M,0.82023,0.84793,0.0284,0.70278,0.00491,0.86636
34,q_rh_low_10M^q_sma_low_10M_pdif^q_rh_close_10M^prpsh_high_360M^q_rh_low_30M^q_rh_low_20M^q_rl_low_10M,0.81819,0.84589,0.03812,0.70286,0.00661,0.86644
42,q_rl_high_20M^prpsl_low_360M^q_rl_close_5M^q_rh_high_5M^q_rl_high_20M^q_rh_low_20M^q_rh_close_10M,0.81819,0.84589,0.03812,0.73026,0.00682,0.89384
39,q_rl_close_20M^q_sma_low_10M_pdif^prpsl_low_240M^q_rl_high_20M^q_rh_close_30M^q_rh_low_30M^q_sma_high_10M_pdif,0.81818,0.84588,0.03642,0.71814,0.00643,0.88172
37,q_rl_close_5M^prpsl_low_360M^q_rl_low_30M^q_sma_close_7M_pdif^q_rh_high_30M^q_sma_high_20M_pdif^q_rl_low_20M,0.81631,0.84401,0.04676,0.725,0.00834,0.88858
30,q_rh_high_10M^prpsl_low_240M^q_sma_low_15M_pdif^q_rh_close_30M^q_sma_volume_10M_pdif^q_rl_low_20M^q_rh_low_10M,0.81766,0.84536,0.03796,0.72646,0.00677,0.89003
24,prpsl_low_360M^q_rh_low_10M^q_rh_low_20M^q_sma_high_20M_pdif^q_rl_close_20M^q_sma_close_15M_pdif^q_rh_close_10M,0.81742,0.84512,0.03873,0.71858,0.00685,0.88215
31,q_rh_high_20M^prpsh_high_240M^q_rl_high_20M^q_sma_low_15M_pdif^prpsl_low_30M^q_rl_close_10M^q_rl_low_30M,0.81845,0.84615,0.02886,0.7052,0.00502,0.86878
41,q_rl_high_10M^prpsl_low_120M^q_rl_low_30M^prpsl_low_20M^q_sma_volume_7M_pdif^q_rh_low_10M^q_rh_low_30M,0.81656,0.84426,0.03179,0.71347,0.00559,0.87705
43,q_rl_high_30M^q_slope_close_10M^q_rl_close_30M^q_slope_close_2M^q_slope_close_15M^q_sma_close_30M_pdif^q_sma_close_15M_pdif,0.8176,0.8453,0.02361,0.73145,0.00423,0.89503
9,prpsh_high_180M^q_rh_low_30M^q_slope_close_15M^q_rh_close_30M^q_sma_high_20M_pdif^q_rl_close_20M^q_sma_close_10M_pdif,0.81686,0.84456,0.02515,0.70689,0.00439,0.87047
38,q_rl_close_10M^q_rl_low_10M^q_sma_volume_10M_pdif^q_rl_low_20M^q_rh_low_10M^prpsl_low_240M^q_rh_high_10M,0.81424,0.84194,0.04028,0.72675,0.00721,0.89032
36,q_rh_low_30M^q_rl_low_30M^q_sma_close_20M_pdif^q_sma_high_20M_pdif^q_rh_low_5M^prpsl_low_5M^q_rl_close_30M,0.81605,0.84375,0.02917,0.73821,0.00528,0.90179
32,q_rh_high_30M^q_sma_volume_7M_pdif^q_rl_high_30M^prpsl_low_180M^q_rh_low_5M^q_rh_low_20M^q_sma_close_10M_pdif,0.8122,0.8399,0.04938,0.71306,0.00873,0.87664
30,q_rh_high_10M^q_rh_low_30M^prpsh_high_300M^q_sma_close_15M_pdif^q_rh_high_30M^q_rh_low_20M^q_sma_volume_10M_pdif,0.81372,0.84142,0.04012,0.70374,0.007,0.86731
34,q_rh_low_10M^q_rh_low_20M^prpsl_low_20M^q_rl_high_20M^q_rl_low_10M^q_rl_close_30M^q_sma_volume_10M_pdif,0.81562,0.84332,0.02824,0.70278,0.00491,0.86636
21,prpsl_low_180M^q_rh_close_30M^q_rh_low_10M^q_slope_close_15M^q_rl_high_20M^q_sma_close_10M_pdif^q_sma_close_30M_pdif,0.81544,0.84314,0.02654,0.71878,0.0047,0.88235
7,prpsh_high_90M^q_rh_high_30M^prpsh_high_300M^q_rl_close_5M^q_rl_high_20M^q_rh_close_20M^q_sma_close_30M_pdif,0.81462,0.84232,0.03133,0.70779,0.00549,0.87137
26,q_rh_close_10M^prpsh_high_15M^q_sma_close_20M_pdif^q_rh_close_30M^prpsh_high_240M^q_rl_high_10M^q_rl_low_30M,0.81462,0.84232,0.03133,0.72439,0.00559,0.88797
1,prpsh_high_5M^q_rh_high_5M^prpsl_low_20M^q_rl_close_30M^prpsl_low_5M^q_rl_high_30M^q_sma_high_10M_pdif,0.81675,0.84444,0.01759,0.70309,0.00306,0.86667
8,prpsh_high_120M^q_rh_high_30M^q_rh_low_5M^q_sma_low_10M_pdif^prpsl_low_90M^q_rl_low_10M^q_rl_high_30M,0.81489,0.84259,0.02809,0.72994,0.00504,0.89352
27,q_rh_close_20M^prpsl_low_15M^q_rh_high_5M^q_rl_high_30M^prpsl_low_5M^q_rh_low_20M^q_sma_volume_10M_pdif,0.81605,0.84375,0.02083,0.74267,0.00379,0.90625
35,q_rh_low_20M^q_rl_close_20M^q_sma_close_20M_pdif^q_rh_low_10M^prpsl_low_10M^q_rl_low_20M^q_slope_close_2M,0.81605,0.84375,0.02083,0.73642,0.00376,0.9
1,prpsh_high_5M^q_rl_close_30M^prpsh_high_30M^q_rh_low_5M^q_rl_low_20M^q_sma_close_10M_pdif^q_sma_volume_10M_pdif,0.81523,0.84293,0.02485,0.72124,0.00442,0.88482
28,q_rh_close_30M^prpsl_low_90M^q_rl_low_20M^prpsl_low_20M^q_rl_close_10M^q_sma_volume_10M_pdif^q_rh_high_10M,0.81441,0.84211,0.02963,0.718,0.00525,0.88158
46,q_rl_low_30M^prpsl_low_20M^q_rh_low_10M^prpsl_low_360M^q_sma_close_15M_pdif^q_rl_low_10M^q_rh_high_30M,0.81273,0.84043,0.03657,0.71586,0.00648,0.87943
8,prpsh_high_120M^q_rh_close_5M^q_rh_close_10M^q_sma_low_7M_pdif^q_rl_close_20M^prpsh_high_360M^q_rh_low_30M,0.81416,0.84186,0.02793,0.70619,0.00489,0.86977
39,q_rl_close_20M^prpsh_high_10M^q_rh_close_10M^prpsl_low_300M^q_rl_low_10M^q_sma_high_15M_pdif^q_rl_high_30M,0.81472,0.84242,0.02145,0.71521,0.00379,0.87879
17,prpsl_low_30M^q_slope_close_10M^prpsl_low_90M^q_rh_close_20M^q_sma_volume_7M_pdif^prpsl_low_15M^q_rh_low_30M,0.81516,0.84286,0.01821,0.70785,0.00319,0.87143
23,prpsl_low_300M^q_rl_high_10M^prpsl_low_30M^q_sma_close_30M_pdif^q_rh_high_30M^q_rh_high_20M^q_rl_close_20M,0.81357,0.84127,0.02454,0.70415,0.00429,0.86772
39,q_rl_close_20M^q_rl_high_20M^prpsl_low_15M^q_rl_close_5M^q_rl_low_20M^prpsl_low_90M^q_rh_low_30M,0.81407,0.84177,0.02052,0.70351,0.00358,0.86709
