"pred_ndx","pred_stat","pred_class","actual_class","pred_prob"
72591,"G",2,2,0.5224795
72592,"G",2,2,0.5232073
72593,"B",2,1,0.5225506
72595,"B",2,1,0.5200365
72596,"G",2,2,0.5203817
72598,"G",2,2,0.5207507
72599,"G",2,2,0.52020043
72600,"G",2,2,0.5194623
72601,"G",2,2,0.52184594
72602,"G",2,2,0.52323073
72603,"G",2,2,0.5221281
72604,"G",2,2,0.52416867
72605,"G",2,2,0.52642596
72606,"B",2,1,0.5256858
72607,"B",2,1,0.528453
72608,"B",2,1,0.52413195
72610,"B",2,1,0.5202887
72612,"B",2,1,0.52053946
72613,"B",2,1,0.5197052
72614,"B",2,1,0.51938736
72615,"B",2,1,0.51924276
72618,"B",2,1,0.52134836
72620,"B",2,1,0.52256733
72622,"B",2,1,0.52075493
72623,"B",2,1,0.5229644
72624,"B",2,1,0.5229644
72625,"B",2,1,0.52348256
72628,"B",2,1,0.51951337
72636,"B",2,1,0.5206686
72642,"B",2,1,0.5199979
72643,"B",2,1,0.52621317
72644,"B",2,1,0.5207237
72645,"B",2,1,0.52241904
72649,"B",2,1,0.5193346
72650,"B",2,1,0.51955897
72651,"B",2,1,0.5214471
72653,"B",2,1,0.51925135
72655,"B",2,1,0.5219272
72656,"B",2,1,0.5296372
72657,"B",2,1,0.52848387
72658,"B",2,1,0.5319694
72659,"B",2,1,0.5288199
72660,"B",2,1,0.530294
72661,"B",2,1,0.5313554
72662,"B",2,1,0.52992177
72663,"B",2,1,0.5379942
72664,"B",2,1,0.53922844
72665,"B",2,1,0.5306395
72666,"B",2,1,0.52423114
72667,"B",2,1,0.52595127
72668,"B",2,1,0.5262928
72669,"B",2,1,0.526371
72670,"B",2,1,0.51942104
72671,"B",2,1,0.5267859
72672,"B",2,1,0.5265665
72674,"B",2,1,0.51927406
72675,"B",2,1,0.51945174
72678,"B",2,1,0.51957667
72679,"B",2,1,0.51957667
72680,"B",2,1,0.5207296
72681,"B",2,1,0.52182126
72685,"B",2,1,0.5200404
72695,"B",2,1,0.52746665
72696,"B",2,1,0.5292261
72697,"B",2,1,0.5255898
72698,"B",2,1,0.5201253
72699,"G",2,2,0.528446
72700,"G",2,2,0.522182
72701,"G",2,2,0.5459682
72702,"G",2,2,0.5407568
72703,"G",2,2,0.54588866
72704,"G",2,2,0.5441044
72705,"G",2,2,0.55439717
72706,"G",2,2,0.5499801
72707,"G",2,2,0.5296535
72708,"G",2,2,0.519983
72709,"G",2,2,0.5242634
72710,"G",2,2,0.52483916
72711,"G",2,2,0.52388483
72719,"B",2,1,0.52034044
72725,"G",2,2,0.5205715
72729,"G",2,2,0.5233098
72730,"G",2,2,0.52007663
72742,"G",2,2,0.5221451
72745,"G",2,2,0.5199645
72749,"B",2,1,0.52213585
72750,"G",2,2,0.5229817
72751,"B",2,1,0.52283806
72752,"B",2,1,0.5232829
72753,"B",2,1,0.5232809
72754,"B",2,1,0.5234076
72755,"B",2,1,0.5232809
72776,"B",2,1,0.52266055
72777,"B",2,1,0.5214238
72787,"B",2,1,0.519267
72790,"B",2,1,0.52328014
72791,"B",2,1,0.52501225
72796,"B",2,1,0.524564
72798,"B",2,1,0.52010256
72799,"B",2,1,0.5208079
72800,"B",2,1,0.5200598
72801,"B",2,1,0.5291163
72802,"B",2,1,0.52492326
72803,"B",2,1,0.5258615
72804,"G",2,2,0.5243218
72805,"G",2,2,0.5222712
72806,"B",2,1,0.52415746
72807,"G",2,2,0.52415746
72808,"G",2,2,0.5241898
72811,"G",2,2,0.5292319
72812,"G",2,2,0.5232545
72813,"B",2,1,0.5232545
72814,"G",2,2,0.52305186
72815,"G",2,2,0.52259994
72816,"G",2,2,0.5232402
72817,"G",2,2,0.5245203
72818,"G",2,2,0.524117
72819,"G",2,2,0.5310556
72820,"G",2,2,0.52324826
72821,"G",2,2,0.5233134
72822,"G",2,2,0.5259935
72823,"G",2,2,0.5282821
72824,"G",2,2,0.5273716
72825,"G",2,2,0.526761
72826,"G",2,2,0.5262629
72827,"G",2,2,0.52602506
72828,"G",2,2,0.52219665
72829,"G",2,2,0.5246446
72830,"G",2,2,0.52430403
72831,"G",2,2,0.52883303
72832,"G",2,2,0.52948827
72833,"G",2,2,0.52394044
72834,"G",2,2,0.5225762
72835,"G",2,2,0.53108615
72836,"B",2,1,0.52713776
72837,"B",2,1,0.5275215
72838,"B",2,1,0.524884
72839,"B",2,1,0.5195864
72841,"B",2,1,0.5277529
72842,"B",2,1,0.527584
72843,"B",2,1,0.527584
72844,"B",2,1,0.5279325
72845,"B",2,1,0.52465564
72846,"B",2,1,0.5246319
72847,"B",2,1,0.52983075
72848,"B",2,1,0.52964354
72849,"B",2,1,0.5296122
72850,"B",2,1,0.52472055
72851,"B",2,1,0.5225152
72852,"B",2,1,0.5234691
72853,"B",2,1,0.5235284
72854,"B",2,1,0.5251933
72855,"B",2,1,0.5257047
72856,"B",2,1,0.5238489
72857,"B",2,1,0.5225772
72858,"B",2,1,0.5199108
72859,"B",2,1,0.5202939
72861,"B",2,1,0.5245869
72862,"B",2,1,0.52833205
72863,"B",2,1,0.52833205
72864,"B",2,1,0.52730304
72865,"B",2,1,0.52905595
72866,"G",2,2,0.5220523
72867,"G",2,2,0.5231673
72868,"G",2,2,0.51927155
72869,"G",2,2,0.5195534
72874,"G",2,2,0.5204681
72876,"G",2,2,0.524303
72877,"G",2,2,0.52885383
72878,"G",2,2,0.52940863
72879,"G",2,2,0.5315594
72880,"G",2,2,0.5281815
72881,"G",2,2,0.5283684
72882,"G",2,2,0.5294492
72883,"G",2,2,0.5300082
72884,"G",2,2,0.5290066
72885,"G",2,2,0.52336866
72886,"G",2,2,0.5289167
72887,"G",2,2,0.5296479
72888,"G",2,2,0.53027225
72889,"G",2,2,0.5221077
72890,"G",2,2,0.5218714
72891,"G",2,2,0.52483153
72892,"G",2,2,0.5303375
72893,"G",2,2,0.5275633
72894,"G",2,2,0.52535444
72895,"G",2,2,0.52501065
72896,"B",2,1,0.52591
72897,"B",2,1,0.52472603
72898,"B",2,1,0.52710545
72899,"B",2,1,0.524606
72900,"B",2,1,0.5251132
72901,"B",2,1,0.52465564
72902,"B",2,1,0.5208425
72903,"B",2,1,0.5223103
72904,"B",2,1,0.5250596
72905,"B",2,1,0.5262058
72906,"B",2,1,0.5236842
72907,"B",2,1,0.5260422
72908,"B",2,1,0.52493364
72909,"B",2,1,0.52664965
72910,"B",2,1,0.5246961
72911,"B",2,1,0.5237834
72912,"B",2,1,0.5278978
72913,"B",2,1,0.52868176
72914,"B",2,1,0.52868176
72915,"B",2,1,0.52793014
72916,"B",2,1,0.52709365
72917,"B",2,1,0.528971
72918,"B",2,1,0.52586585
72919,"B",2,1,0.52455795
72920,"B",2,1,0.525272
72921,"B",2,1,0.522927
72922,"B",2,1,0.5232105
72923,"B",2,1,0.52357763
72924,"B",2,1,0.5253782
72925,"B",2,1,0.5291204
72926,"B",2,1,0.52740496
72927,"B",2,1,0.52798873
72928,"B",2,1,0.52753043
72929,"B",2,1,0.5289823
72930,"B",2,1,0.5301792
72931,"B",2,1,0.5286682
72932,"B",2,1,0.52805144
72933,"B",2,1,0.52838147
72934,"B",2,1,0.52561605
72935,"B",2,1,0.5279417
72936,"B",2,1,0.5265206
72937,"B",2,1,0.52675396
72938,"B",2,1,0.52624685
72939,"B",2,1,0.52808774
72940,"B",2,1,0.52403796
72941,"B",2,1,0.52291524
72942,"B",2,1,0.52449816
72943,"G",2,2,0.52312475
72944,"G",2,2,0.522515
72945,"G",2,2,0.52252734
72946,"G",2,2,0.5252373
72947,"G",2,2,0.52649724
72948,"G",2,2,0.52629226
72949,"G",2,2,0.52629226
72950,"G",2,2,0.52495754
72951,"G",2,2,0.5243734
72952,"G",2,2,0.52771825
72953,"G",2,2,0.52905333
72954,"G",2,2,0.5249361
72955,"G",2,2,0.52278066
